""	""	"EAP"	"HPL"	"MWS"	"EAP"	"HPL"	"MWS"
""	""	"male"	"male"	"male"	"female"	"female"	"female"
"sample1"	"a"	"2"	"0"	"0"	"1"	"0"	"0"
"sample2"	"abandon"	"1"	"0"	"0"	"0"	"0"	"0"
"sample3"	"abdicated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample4"	"abhorred"	"0"	"1"	"0"	"0"	"0"	"0"
"sample5"	"absolutely"	"0"	"1"	"0"	"0"	"0"	"0"
"sample6"	"absorbed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample7"	"accompanied"	"1"	"0"	"0"	"0"	"0"	"0"
"sample8"	"accosted"	"2"	"0"	"1"	"0"	"0"	"0"
"sample9"	"accumulated"	"0"	"0"	"1"	"0"	"0"	"0"
"sample10"	"accused"	"0"	"0"	"2"	"0"	"0"	"2"
"sample11"	"acquired"	"0"	"1"	"0"	"0"	"0"	"0"
"sample12"	"acquires"	"0"	"0"	"1"	"0"	"0"	"0"
"sample13"	"act"	"1"	"0"	"0"	"0"	"0"	"0"
"sample14"	"acted"	"0"	"0"	"1"	"0"	"0"	"0"
"sample15"	"actually"	"0"	"2"	"0"	"0"	"0"	"0"
"sample16"	"actuates"	"1"	"0"	"0"	"0"	"0"	"0"
"sample17"	"added"	"3"	"2"	"0"	"0"	"0"	"1"
"sample18"	"addressed"	"0"	"1"	"4"	"0"	"0"	"1"
"sample19"	"addresses"	"2"	"0"	"0"	"0"	"0"	"0"
"sample20"	"admitted"	"2"	"1"	"1"	"0"	"0"	"0"
"sample21"	"adopted"	"0"	"0"	"2"	"0"	"0"	"0"
"sample22"	"adores"	"0"	"0"	"0"	"0"	"0"	"1"
"sample23"	"adverted"	"0"	"0"	"0"	"1"	"0"	"0"
"sample24"	"affected"	"0"	"1"	"1"	"0"	"0"	"0"
"sample25"	"affords"	"0"	"0"	"1"	"0"	"0"	"0"
"sample26"	"afraid"	"0"	"1"	"0"	"0"	"0"	"0"
"sample27"	"after"	"1"	"0"	"1"	"1"	"0"	"0"
"sample28"	"afterward"	"0"	"0"	"1"	"0"	"0"	"0"
"sample29"	"afterwards"	"0"	"0"	"0"	"0"	"0"	"1"
"sample30"	"again"	"4"	"1"	"2"	"0"	"0"	"1"
"sample31"	"agile"	"0"	"0"	"0"	"1"	"0"	"0"
"sample32"	"agreed"	"1"	"0"	"0"	"0"	"0"	"0"
"sample33"	"ah"	"0"	"0"	"1"	"0"	"0"	"0"
"sample34"	"aimed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample35"	"alas"	"0"	"0"	"0"	"1"	"0"	"0"
"sample36"	"allowed"	"0"	"0"	"0"	"1"	"0"	"0"
"sample37"	"allude"	"0"	"0"	"1"	"0"	"0"	"0"
"sample38"	"alluded"	"0"	"0"	"1"	"0"	"0"	"0"
"sample39"	"allus"	"0"	"1"	"0"	"0"	"0"	"0"
"sample40"	"almost"	"0"	"1"	"0"	"0"	"0"	"2"
"sample41"	"alone"	"0"	"1"	"0"	"0"	"0"	"1"
"sample42"	"already"	"0"	"0"	"1"	"0"	"0"	"0"
"sample43"	"also"	"2"	"1"	"1"	"0"	"0"	"2"
"sample44"	"although"	"0"	"0"	"1"	"0"	"0"	"0"
"sample45"	"altogether"	"1"	"0"	"0"	"0"	"0"	"0"
"sample46"	"always"	"0"	"2"	"0"	"1"	"1"	"0"
"sample47"	"amused"	"0"	"0"	"0"	"1"	"0"	"0"
"sample48"	"an"	"0"	"1"	"0"	"0"	"0"	"0"
"sample49"	"analysed"	"0"	"1"	"0"	"0"	"0"	"0"
"sample50"	"and"	"3"	"5"	"4"	"0"	"1"	"5"
"sample51"	"answered"	"0"	"0"	"0"	"0"	"0"	"3"
"sample52"	"any"	"0"	"0"	"0"	"1"	"0"	"0"
"sample53"	"appeared"	"5"	"0"	"13"	"3"	"0"	"6"
"sample54"	"appointed"	"0"	"0"	"1"	"0"	"0"	"0"
"sample55"	"approached"	"1"	"2"	"4"	"0"	"0"	"1"
"sample56"	"approaches"	"1"	"0"	"0"	"0"	"0"	"0"
"sample57"	"arose"	"1"	"0"	"0"	"1"	"0"	"0"
"sample58"	"arranges"	"1"	"0"	"0"	"0"	"0"	"0"
"sample59"	"arrested"	"1"	"0"	"0"	"0"	"0"	"0"
"sample60"	"arrived"	"0"	"0"	"1"	"0"	"0"	"1"
"sample61"	"arrives"	"1"	"0"	"1"	"0"	"0"	"0"
